"recipe_id";"label_id"
"1";"1"
"1";"12"
"2";"6"
"2";"7"
"2";"12"
"3";"12"
"3";"29"
"3";"31"
"4";"1"
"4";"12"
"4";"29"
"5";"12"
"5";"15"
"5";"37"
"6";"3"
"6";"12"
"6";"15"
"7";"6"
"7";"12"
"8";"3"
"8";"12"
"9";"6"
"9";"12"
"10";"3"
"10";"12"
"10";"15"
"11";"6"
"11";"12"
"11";"15"
"12";"3"
"12";"12"
"12";"15"
"13";"3"
"13";"12"
"14";"17"
"14";"21"
